epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2216.07,2.33536,4.80878,1.94236,0.6532,0.53746,0.55411,0.24668,1.88176,2.3291,1.51746,0.00700088,0.000333236,0.000333236
2,4394.32,1.81549,2.09383,1.54721,0.79471,0.71832,0.79435,0.39817,1.68253,1.45151,1.4152,0.00398202,0.000647715,0.000647715
3,6507.16,1.70943,1.56159,1.47511,0.7932,0.78607,0.83958,0.43564,1.71331,1.16155,1.38983,0.000944312,0.000943337,0.000943337
4,8634.56,1.6747,1.32436,1.40247,0.80863,0.84215,0.88361,0.48188,1.60603,0.9741,1.31795,0.000915143,0.000915143,0.000915143
5,10859.4,1.61811,1.1866,1.35277,0.85852,0.86325,0.91626,0.49278,1.62515,0.88009,1.30222,0.000886857,0.000886857,0.000886857
6,13102.9,1.58518,1.0947,1.33395,0.8486,0.8679,0.92166,0.51439,1.58784,0.84873,1.28851,0.000858571,0.000858571,0.000858571
7,15230.3,1.57098,1.02481,1.31816,0.86734,0.8735,0.92897,0.51135,1.61927,0.82816,1.29984,0.000830286,0.000830286,0.000830286
8,17364.4,1.53525,0.99604,1.29453,0.87033,0.88855,0.94039,0.5397,1.53363,0.77992,1.26255,0.000802,0.000802,0.000802
9,19492.6,1.52508,0.97679,1.2978,0.8603,0.90157,0.93878,0.53778,1.55297,0.77446,1.27496,0.000773714,0.000773714,0.000773714
10,21592.8,1.5058,0.92179,1.28243,0.86426,0.91131,0.94822,0.55661,1.51867,0.74771,1.24008,0.000745429,0.000745429,0.000745429
11,23678.5,1.51446,0.90522,1.28133,0.87502,0.89347,0.94726,0.54883,1.53432,0.73537,1.25919,0.000717143,0.000717143,0.000717143
12,25742.6,1.49149,0.88058,1.27102,0.89502,0.89386,0.95051,0.55801,1.51162,0.71839,1.23471,0.000688857,0.000688857,0.000688857
13,27809.8,1.48374,0.86417,1.26022,0.87848,0.91862,0.95193,0.57438,1.50195,0.71122,1.23114,0.000660571,0.000660571,0.000660571
14,29876.7,1.45093,0.84817,1.24774,0.88341,0.91471,0.95255,0.57708,1.49234,0.70467,1.23561,0.000632286,0.000632286,0.000632286
15,31944.5,1.45162,0.83631,1.2536,0.88874,0.89827,0.95041,0.57357,1.48689,0.68928,1.24079,0.000604,0.000604,0.000604
16,34009.5,1.44424,0.83036,1.25039,0.90817,0.89848,0.95678,0.58617,1.48689,0.68055,1.23171,0.000575714,0.000575714,0.000575714
17,36079.6,1.43683,0.81199,1.24174,0.89687,0.90936,0.95623,0.58669,1.47756,0.67056,1.21957,0.000547429,0.000547429,0.000547429
18,38147.4,1.42099,0.80305,1.23187,0.88908,0.92253,0.95424,0.58327,1.48244,0.67005,1.22323,0.000519143,0.000519143,0.000519143
19,40208.7,1.41869,0.80339,1.22796,0.89031,0.92076,0.95625,0.59319,1.47147,0.66902,1.22302,0.000490857,0.000490857,0.000490857
20,42269.3,1.40098,0.77944,1.22187,0.86848,0.9337,0.958,0.59062,1.46845,0.66611,1.23241,0.000462571,0.000462571,0.000462571
21,44325.7,1.39781,0.77294,1.22098,0.9051,0.90709,0.95861,0.5922,1.45983,0.6601,1.22289,0.000434286,0.000434286,0.000434286
22,46383.8,1.38192,0.75582,1.21314,0.89441,0.92527,0.9587,0.59225,1.46529,0.65026,1.21754,0.000406,0.000406,0.000406
23,48443.2,1.38613,0.74944,1.20996,0.90749,0.91664,0.95958,0.59996,1.45736,0.64819,1.21307,0.000377714,0.000377714,0.000377714
24,50498.2,1.37685,0.75224,1.20466,0.90114,0.91953,0.95994,0.59636,1.46275,0.65366,1.21788,0.000349429,0.000349429,0.000349429
25,52550.5,1.36598,0.73798,1.20149,0.91116,0.91111,0.95805,0.60039,1.45658,0.64868,1.21809,0.000321143,0.000321143,0.000321143
26,54601.1,1.33194,0.61573,1.19333,0.90584,0.91936,0.95771,0.59617,1.47539,0.64672,1.22398,0.000292857,0.000292857,0.000292857
27,56650.5,1.32857,0.60933,1.18645,0.91297,0.9002,0.95952,0.6051,1.45132,0.64202,1.20847,0.000264571,0.000264571,0.000264571
28,58700.3,1.32064,0.60347,1.18792,0.91272,0.90758,0.95782,0.60197,1.45433,0.6326,1.21725,0.000236286,0.000236286,0.000236286
29,60750.8,1.31095,0.59399,1.17819,0.90407,0.91662,0.95972,0.61128,1.43815,0.63107,1.20406,0.000208,0.000208,0.000208
30,62800.8,1.29752,0.58313,1.1742,0.89345,0.92682,0.95989,0.60771,1.44263,0.63205,1.21132,0.000179714,0.000179714,0.000179714
31,64847.8,1.29286,0.58523,1.17627,0.9133,0.90296,0.95854,0.60486,1.44989,0.63167,1.21852,0.000151429,0.000151429,0.000151429
32,66894.7,1.28378,0.58049,1.17175,0.89516,0.91868,0.95838,0.60893,1.44922,0.62585,1.21564,0.000123143,0.000123143,0.000123143
33,68939,1.27518,0.57291,1.16942,0.90103,0.91472,0.95784,0.60747,1.45236,0.62799,1.22203,9.48571e-05,9.48571e-05,9.48571e-05
34,70987.7,1.27147,0.57172,1.1683,0.90924,0.91228,0.95886,0.60774,1.45316,0.62438,1.21878,6.65714e-05,6.65714e-05,6.65714e-05
35,73037.9,1.27058,0.5713,1.16285,0.90778,0.90643,0.95888,0.60875,1.44703,0.62447,1.21507,3.82857e-05,3.82857e-05,3.82857e-05
