epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2325.51,1.7447,2.06591,1.5048,0.57581,0.60419,0.60554,0.2932,1.61109,1.24858,1.34272,0.00700086,0.000333238,0.000333238
2,5877.45,1.53186,1.2066,1.27997,0.76031,0.69971,0.74281,0.38164,1.53517,0.92431,1.23155,0.0039876,0.000653306,0.000653306
3,10321,1.4863,1.01201,1.21868,0.81389,0.761,0.81213,0.42801,1.51574,0.82645,1.19865,0.000961065,0.000960108,0.000960108
4,14590.2,1.44293,0.94039,1.1874,0.8509,0.77049,0.83888,0.45585,1.49518,0.76861,1.18388,0.0009403,0.0009403,0.0009403
5,16671.2,1.41437,0.88472,1.16937,0.86769,0.78632,0.85696,0.46664,1.51532,0.76684,1.19001,0.0009204,0.0009204,0.0009204
6,18750.3,1.39218,0.83117,1.14572,0.8546,0.81993,0.86815,0.4928,1.4271,0.7029,1.14567,0.0009005,0.0009005,0.0009005
7,20829.3,1.37367,0.81277,1.1489,0.88045,0.81979,0.8807,0.49472,1.43866,0.69121,1.15641,0.0008806,0.0008806,0.0008806
8,22909.3,1.36833,0.80408,1.14717,0.87395,0.82364,0.88174,0.52005,1.37706,0.67273,1.12118,0.0008607,0.0008607,0.0008607
9,24994,1.35375,0.78201,1.13698,0.88129,0.83598,0.88922,0.52313,1.38458,0.6592,1.12957,0.0008408,0.0008408,0.0008408
10,27076.9,1.33591,0.75527,1.12755,0.88624,0.82755,0.87721,0.50607,1.41045,0.65816,1.1494,0.0008209,0.0008209,0.0008209
11,29153.7,1.33277,0.74938,1.12364,0.90363,0.82818,0.89342,0.52912,1.37299,0.64305,1.11764,0.000801,0.000801,0.000801
12,31228.1,1.32285,0.73111,1.11655,0.88073,0.84365,0.89458,0.52877,1.37173,0.65206,1.12373,0.0007811,0.0007811,0.0007811
13,33300.1,1.30821,0.72495,1.11123,0.88961,0.83295,0.90028,0.54455,1.35413,0.6243,1.11248,0.0007612,0.0007612,0.0007612
14,35370.8,1.30248,0.71125,1.11135,0.88698,0.84439,0.90808,0.54846,1.33772,0.61288,1.11023,0.0007413,0.0007413,0.0007413
15,37444.1,1.30669,0.70122,1.10773,0.88818,0.85872,0.90651,0.55221,1.34786,0.60417,1.10866,0.0007214,0.0007214,0.0007214
16,39512.8,1.29466,0.69332,1.10501,0.90849,0.842,0.90125,0.55053,1.33033,0.61246,1.10741,0.0007015,0.0007015,0.0007015
17,41578.2,1.29182,0.68905,1.09649,0.91168,0.85507,0.91663,0.56557,1.30902,0.59693,1.09178,0.0006816,0.0006816,0.0006816
18,43642.6,1.27759,0.67635,1.09076,0.9047,0.85793,0.91299,0.55716,1.30903,0.58941,1.08751,0.0006617,0.0006617,0.0006617
19,45706.8,1.27864,0.66999,1.08319,0.87584,0.87948,0.91318,0.55573,1.31867,0.59527,1.09042,0.0006418,0.0006418,0.0006418
20,47770.3,1.2652,0.66139,1.08372,0.89703,0.86735,0.91223,0.56303,1.31496,0.58376,1.08251,0.0006219,0.0006219,0.0006219
21,49831.4,1.26221,0.65862,1.08351,0.89196,0.8615,0.90311,0.5575,1.30794,0.59448,1.08786,0.000602,0.000602,0.000602
22,51891.7,1.25446,0.65425,1.07618,0.88698,0.86718,0.90871,0.56294,1.31772,0.58557,1.08563,0.0005821,0.0005821,0.0005821
23,53951.1,1.24961,0.64981,1.07821,0.88472,0.86022,0.90875,0.56258,1.30374,0.58171,1.09163,0.0005622,0.0005622,0.0005622
24,56011.9,1.2465,0.65291,1.08691,0.9065,0.86048,0.91536,0.57059,1.29721,0.57575,1.09406,0.0005423,0.0005423,0.0005423
25,58069,1.24771,0.63608,1.08144,0.89333,0.8691,0.91517,0.57143,1.30082,0.58034,1.0921,0.0005224,0.0005224,0.0005224
26,60129.5,1.24483,0.64453,1.08201,0.89717,0.85568,0.91146,0.56466,1.30432,0.58131,1.08817,0.0005025,0.0005025,0.0005025
27,62246.9,1.23128,0.63349,1.07589,0.87253,0.84957,0.89511,0.55814,1.30018,0.57695,1.09339,0.0004826,0.0004826,0.0004826
28,64351.9,1.22633,0.62565,1.06738,0.88211,0.85599,0.8976,0.55093,1.30218,0.57351,1.09558,0.0004627,0.0004627,0.0004627
29,66454.3,1.23563,0.62614,1.06698,0.91301,0.8695,0.91972,0.57108,1.30098,0.57148,1.09698,0.0004428,0.0004428,0.0004428
30,68564.7,1.22209,0.61779,1.0703,0.90131,0.85814,0.90914,0.56415,1.29139,0.57152,1.09438,0.0004229,0.0004229,0.0004229
31,70735.8,1.22965,0.6147,1.06635,0.89165,0.86564,0.91599,0.57264,1.28669,0.56532,1.08873,0.000403,0.000403,0.000403
32,72900.8,1.21828,0.61639,1.06387,0.91442,0.85832,0.91958,0.57085,1.28687,0.56134,1.09089,0.0003831,0.0003831,0.0003831
